x, 1, 2, 3, 4, 5, 6, 7
0.000e+00,  0.000e+00,  0.000e+00,  0.000e+00,  0.000e+00,  0.000e+00,  0.000e+00,  0.000e+00
5.000e-04,  4.167e-11,  4.167e-11,  4.167e-11,  4.167e-11,  4.160e-11,  0.000e+00,  4.167e-11
1.000e-03,  3.333e-10,  3.333e-10,  3.333e-10,  3.333e-10,  3.331e-10,  0.000e+00,  3.333e-10
1.500e-03,  1.125e-09,  1.125e-09,  1.125e-09,  1.125e-09,  1.124e-09,  0.000e+00,  1.125e-09
2.000e-03,  2.667e-09,  2.667e-09,  2.667e-09,  2.667e-09,  2.666e-09,  0.000e+00,  2.667e-09
2.500e-03,  5.208e-09,  5.208e-09,  5.208e-09,  5.208e-09,  5.207e-09,  0.000e+00,  5.208e-09
3.000e-03,  9.000e-09,  9.000e-09,  9.000e-09,  9.000e-09,  8.998e-09,  0.000e+00,  9.000e-09
3.500e-03,  1.429e-08,  1.429e-08,  1.429e-08,  1.429e-08,  1.429e-08,  0.000e+00,  1.429e-08
4.000e-03,  2.133e-08,  2.133e-08,  2.133e-08,  2.133e-08,  2.133e-08,  0.000e+00,  2.133e-08
4.500e-03,  3.037e-08,  3.038e-08,  3.038e-08,  3.038e-08,  3.037e-08,  0.000e+00,  3.038e-08
5.000e-03,  4.167e-08,  4.167e-08,  4.167e-08,  4.167e-08,  4.166e-08,  0.000e+00,  4.167e-08
5.500e-03,  5.546e-08,  5.546e-08,  5.546e-08,  5.546e-08,  5.545e-08,  0.000e+00,  5.546e-08
6.000e-03,  7.200e-08,  7.200e-08,  7.200e-08,  7.200e-08,  7.199e-08,  0.000e+00,  7.200e-08
6.500e-03,  9.154e-08,  9.154e-08,  9.154e-08,  9.154e-08,  9.153e-08,  0.000e+00,  9.154e-08
7.000e-03,  1.143e-07,  1.143e-07,  1.143e-07,  1.143e-07,  1.143e-07,  0.000e+00,  1.143e-07
7.500e-03,  1.406e-07,  1.406e-07,  1.406e-07,  1.406e-07,  1.406e-07,  1.099e-08,  1.406e-07
8.000e-03,  1.707e-07,  1.707e-07,  1.707e-07,  1.707e-07,  1.707e-07,  1.220e-07,  1.707e-07
8.500e-03,  2.047e-07,  2.047e-07,  2.047e-07,  2.047e-07,  2.047e-07,  2.330e-07,  2.047e-07
9.000e-03,  2.430e-07,  2.430e-07,  2.430e-07,  2.430e-07,  2.430e-07,  3.441e-07,  2.430e-07
9.500e-03,  2.858e-07,  2.858e-07,  2.858e-07,  2.858e-07,  2.858e-07,  4.551e-07,  2.858e-07
1.000e-02,  3.333e-07,  3.333e-07,  3.333e-07,  3.333e-07,  3.333e-07,  5.661e-07,  3.333e-07
1.050e-02,  3.859e-07,  3.859e-07,  3.859e-07,  3.859e-07,  3.858e-07,  6.771e-07,  3.859e-07
1.100e-02,  4.437e-07,  4.437e-07,  4.437e-07,  4.437e-07,  4.436e-07,  7.881e-07,  4.437e-07
1.150e-02,  5.070e-07,  5.070e-07,  5.070e-07,  5.070e-07,  5.069e-07,  8.992e-07,  5.070e-07
1.200e-02,  5.760e-07,  5.760e-07,  5.760e-07,  5.760e-07,  5.760e-07,  1.010e-06,  5.760e-07
1.250e-02,  6.510e-07,  6.510e-07,  6.510e-07,  6.510e-07,  6.510e-07,  1.121e-06,  6.510e-07
1.300e-02,  7.323e-07,  7.323e-07,  7.323e-07,  7.323e-07,  7.323e-07,  1.232e-06,  7.323e-07
1.350e-02,  8.201e-07,  8.201e-07,  8.201e-07,  8.201e-07,  8.201e-07,  1.343e-06,  8.201e-07
1.400e-02,  9.147e-07,  9.147e-07,  9.147e-07,  9.147e-07,  9.146e-07,  1.454e-06,  9.147e-07
1.450e-02,  1.016e-06,  1.016e-06,  1.016e-06,  1.016e-06,  1.016e-06,  1.565e-06,  1.016e-06
1.500e-02,  1.125e-06,  1.125e-06,  1.125e-06,  1.125e-06,  1.125e-06,  1.676e-06,  1.125e-06
1.550e-02,  1.241e-06,  1.241e-06,  1.241e-06,  1.241e-06,  1.241e-06,  1.787e-06,  1.241e-06
1.600e-02,  1.365e-06,  1.365e-06,  1.365e-06,  1.365e-06,  1.365e-06,  1.898e-06,  1.365e-06
1.650e-02,  1.497e-06,  1.497e-06,  1.497e-06,  1.497e-06,  1.497e-06,  2.009e-06,  1.497e-06
1.700e-02,  1.638e-06,  1.638e-06,  1.638e-06,  1.638e-06,  1.638e-06,  2.196e-06,  1.638e-06
1.750e-02,  1.786e-06,  1.786e-06,  1.786e-06,  1.786e-06,  1.786e-06,  2.418e-06,  1.786e-06
1.800e-02,  1.944e-06,  1.944e-06,  1.944e-06,  1.944e-06,  1.944e-06,  2.640e-06,  1.944e-06
1.850e-02,  2.111e-06,  2.111e-06,  2.111e-06,  2.111e-06,  2.110e-06,  2.862e-06,  2.111e-06
1.900e-02,  2.286e-06,  2.286e-06,  2.286e-06,  2.286e-06,  2.286e-06,  3.084e-06,  2.286e-06
1.950e-02,  2.472e-06,  2.472e-06,  2.472e-06,  2.472e-06,  2.472e-06,  3.306e-06,  2.472e-06
2.000e-02,  2.667e-06,  2.667e-06,  2.667e-06,  2.667e-06,  2.667e-06,  3.528e-06,  2.667e-06
2.050e-02,  2.872e-06,  2.872e-06,  2.872e-06,  2.872e-06,  2.872e-06,  3.750e-06,  2.872e-06
2.100e-02,  3.087e-06,  3.087e-06,  3.087e-06,  3.087e-06,  3.087e-06,  3.972e-06,  3.087e-06
2.150e-02,  3.313e-06,  3.313e-06,  3.313e-06,  3.313e-06,  3.313e-06,  4.194e-06,  3.313e-06
2.200e-02,  3.549e-06,  3.549e-06,  3.549e-06,  3.549e-06,  3.549e-06,  4.416e-06,  3.549e-06
2.250e-02,  3.797e-06,  3.797e-06,  3.797e-06,  3.797e-06,  3.797e-06,  4.671e-06,  3.797e-06
2.300e-02,  4.056e-06,  4.056e-06,  4.056e-06,  4.056e-06,  4.056e-06,  5.004e-06,  4.056e-06
2.350e-02,  4.326e-06,  4.326e-06,  4.326e-06,  4.326e-06,  4.326e-06,  5.338e-06,  4.326e-06
2.400e-02,  4.608e-06,  4.608e-06,  4.608e-06,  4.608e-06,  4.608e-06,  5.671e-06,  4.608e-06
2.450e-02,  4.902e-06,  4.902e-06,  4.902e-06,  4.902e-06,  4.902e-06,  6.004e-06,  4.902e-06
2.500e-02,  5.208e-06,  5.208e-06,  5.208e-06,  5.208e-06,  5.208e-06,  6.337e-06,  5.208e-06
2.550e-02,  5.527e-06,  5.527e-06,  5.527e-06,  5.527e-06,  5.527e-06,  6.670e-06,  5.527e-06
2.600e-02,  5.859e-06,  5.859e-06,  5.859e-06,  5.859e-06,  5.858e-06,  7.003e-06,  5.859e-06
2.650e-02,  6.203e-06,  6.203e-06,  6.203e-06,  6.203e-06,  6.203e-06,  7.336e-06,  6.203e-06
2.700e-02,  6.561e-06,  6.561e-06,  6.561e-06,  6.561e-06,  6.561e-06,  7.699e-06,  6.561e-06
2.750e-02,  6.932e-06,  6.932e-06,  6.932e-06,  6.932e-06,  6.932e-06,  8.143e-06,  6.932e-06
2.800e-02,  7.317e-06,  7.317e-06,  7.317e-06,  7.317e-06,  7.317e-06,  8.588e-06,  7.317e-06
2.850e-02,  7.716e-06,  7.716e-06,  7.716e-06,  7.716e-06,  7.716e-06,  9.032e-06,  7.716e-06
2.900e-02,  8.130e-06,  8.130e-06,  8.130e-06,  8.130e-06,  8.129e-06,  9.476e-06,  8.130e-06
2.950e-02,  8.557e-06,  8.557e-06,  8.557e-06,  8.557e-06,  8.557e-06,  9.920e-06,  8.557e-06
3.000e-02,  9.000e-06,  9.000e-06,  9.000e-06,  9.000e-06,  9.000e-06,  1.036e-05,  9.000e-06
3.050e-02,  9.458e-06,  9.458e-06,  9.458e-06,  9.458e-06,  9.457e-06,  1.081e-05,  9.458e-06
3.100e-02,  9.930e-06,  9.930e-06,  9.930e-06,  9.930e-06,  9.930e-06,  1.131e-05,  9.930e-06
3.150e-02,  1.042e-05,  1.042e-05,  1.042e-05,  1.042e-05,  1.042e-05,  1.187e-05,  1.042e-05
3.200e-02,  1.092e-05,  1.092e-05,  1.092e-05,  1.092e-05,  1.092e-05,  1.242e-05,  1.092e-05
3.250e-02,  1.144e-05,  1.144e-05,  1.144e-05,  1.144e-05,  1.144e-05,  1.298e-05,  1.144e-05
3.300e-02,  1.198e-05,  1.198e-05,  1.198e-05,  1.198e-05,  1.198e-05,  1.353e-05,  1.198e-05
3.350e-02,  1.253e-05,  1.253e-05,  1.253e-05,  1.253e-05,  1.253e-05,  1.409e-05,  1.253e-05
3.400e-02,  1.310e-05,  1.310e-05,  1.310e-05,  1.310e-05,  1.310e-05,  1.465e-05,  1.310e-05
3.450e-02,  1.369e-05,  1.369e-05,  1.369e-05,  1.369e-05,  1.369e-05,  1.528e-05,  1.369e-05
3.500e-02,  1.429e-05,  1.429e-05,  1.429e-05,  1.429e-05,  1.429e-05,  1.595e-05,  1.429e-05
3.550e-02,  1.491e-05,  1.491e-05,  1.491e-05,  1.491e-05,  1.491e-05,  1.661e-05,  1.491e-05
3.600e-02,  1.555e-05,  1.555e-05,  1.555e-05,  1.555e-05,  1.555e-05,  1.728e-05,  1.555e-05
3.650e-02,  1.621e-05,  1.621e-05,  1.621e-05,  1.621e-05,  1.621e-05,  1.794e-05,  1.621e-05
3.700e-02,  1.688e-05,  1.688e-05,  1.688e-05,  1.688e-05,  1.688e-05,  1.861e-05,  1.688e-05
3.750e-02,  1.758e-05,  1.758e-05,  1.758e-05,  1.758e-05,  1.758e-05,  1.933e-05,  1.758e-05
3.800e-02,  1.829e-05,  1.829e-05,  1.829e-05,  1.829e-05,  1.829e-05,  2.011e-05,  1.829e-05
3.850e-02,  1.902e-05,  1.902e-05,  1.902e-05,  1.902e-05,  1.902e-05,  2.089e-05,  1.902e-05
3.900e-02,  1.977e-05,  1.977e-05,  1.977e-05,  1.977e-05,  1.977e-05,  2.166e-05,  1.977e-05
3.950e-02,  2.054e-05,  2.054e-05,  2.054e-05,  2.054e-05,  2.054e-05,  2.244e-05,  2.054e-05
4.000e-02,  2.133e-05,  2.133e-05,  2.133e-05,  2.133e-05,  2.133e-05,  2.322e-05,  2.133e-05
4.050e-02,  2.214e-05,  2.214e-05,  2.214e-05,  2.214e-05,  2.214e-05,  2.408e-05,  2.214e-05
4.100e-02,  2.297e-05,  2.297e-05,  2.297e-05,  2.297e-05,  2.297e-05,  2.497e-05,  2.297e-05
4.150e-02,  2.382e-05,  2.382e-05,  2.382e-05,  2.382e-05,  2.382e-05,  2.585e-05,  2.382e-05
4.200e-02,  2.470e-05,  2.470e-05,  2.470e-05,  2.470e-05,  2.470e-05,  2.674e-05,  2.470e-05
4.250e-02,  2.559e-05,  2.559e-05,  2.559e-05,  2.559e-05,  2.559e-05,  2.763e-05,  2.559e-05
4.300e-02,  2.650e-05,  2.650e-05,  2.650e-05,  2.650e-05,  2.650e-05,  2.856e-05,  2.650e-05
4.350e-02,  2.744e-05,  2.744e-05,  2.744e-05,  2.744e-05,  2.744e-05,  2.956e-05,  2.744e-05
4.400e-02,  2.839e-05,  2.839e-05,  2.839e-05,  2.839e-05,  2.839e-05,  3.056e-05,  2.839e-05
4.450e-02,  2.937e-05,  2.937e-05,  2.937e-05,  2.937e-05,  2.937e-05,  3.156e-05,  2.937e-05
4.500e-02,  3.038e-05,  3.038e-05,  3.038e-05,  3.038e-05,  3.037e-05,  3.256e-05,  3.038e-05
4.550e-02,  3.140e-05,  3.140e-05,  3.140e-05,  3.140e-05,  3.140e-05,  3.360e-05,  3.140e-05
4.600e-02,  3.245e-05,  3.245e-05,  3.245e-05,  3.245e-05,  3.244e-05,  3.471e-05,  3.245e-05
4.650e-02,  3.351e-05,  3.351e-05,  3.351e-05,  3.351e-05,  3.351e-05,  3.582e-05,  3.351e-05
4.700e-02,  3.461e-05,  3.461e-05,  3.461e-05,  3.461e-05,  3.461e-05,  3.693e-05,  3.461e-05
4.750e-02,  3.572e-05,  3.572e-05,  3.572e-05,  3.572e-05,  3.572e-05,  3.804e-05,  3.572e-05
4.800e-02,  3.686e-05,  3.686e-05,  3.686e-05,  3.686e-05,  3.686e-05,  3.922e-05,  3.686e-05
4.850e-02,  3.803e-05,  3.803e-05,  3.803e-05,  3.803e-05,  3.803e-05,  4.044e-05,  3.803e-05
4.900e-02,  3.922e-05,  3.922e-05,  3.922e-05,  3.922e-05,  3.922e-05,  4.166e-05,  3.922e-05
4.950e-02,  4.043e-05,  4.043e-05,  4.043e-05,  4.043e-05,  4.043e-05,  4.288e-05,  4.043e-05
